timing_of_dose_days,VE,LCL,UCL,vaccine,outcome_category
329,37.5,36,39,Pfizer,infection
420,0.8,-1.5,3,Pfizer,infection
329,58.8,49.3,66.5,Pfizer,severe
420,29.4,50.4,76.9,Pfizer,severe
329,75.2,67.7,81,Pfizer,death
420,59.1,27.2,77,Pfizer,death
322,47.2,45.8,48.5,Moderna,infection
413,30.3,28.9,32.9,Moderna,infection
322,64.7,57.2,70.9,Moderna,severe
413,61.5,49.6,70.6,Moderna,severe
322,69.6,62.3,75.5,Moderna,death
413,48.3,22.6,65.4,Moderna,death
287,48.8,47.2,50.4,Janssen,infection
378,49,46.4,51.4,Janssen,infection
287,65.3,58.3,71.1,Janssen,severe
378,53.3,26.7,70.2,Janssen,severe
287,76.1,69.2,81.4,Janssen,death
378,77.5,19.6,93.7,Janssen,death
175,54.3,53.6,55,Pfizer,infection
266,47.4,46.6,48.2,Pfizer,infection
175,85.8,83.4,87.8,Pfizer,severe
266,70.9,65.3,75.6,Pfizer,severe
175,89.6,87,91.6,Pfizer,death
266,77.4,70.6,82.6,Pfizer,death
168,69.2,68.5,69.9,Moderna,infection
259,48.4,47.5,49.3,Moderna,infection
168,89.8,88.1,91.3,Moderna,severe
259,72.7,67.8,77,Moderna,severe
168,93,91.1,94.5,Moderna,death
259,85.1,80.1,88.8,Moderna,death
140,59.2,57.7,60.7,Janssen,infection
231,60.5,58.9,62.1,Janssen,infection
140,77.9,72.2,82.4,Janssen,severe
231,70,64.8,74.5,Janssen,severe
140,83.8,76.1,89,Janssen,death
231,79.2,73.1,84,Janssen,death
21,67.6,66.9,68.3,Pfizer,infection
147,58.6,58,59.2,Pfizer,infection
21,94.1,92.2,95.5,Pfizer,severe
147,87.1,85,88.9,Pfizer,severe
21,97.1,94.7,98.4,Pfizer,death
147,91.9,89.4,93.8,Pfizer,death
14,90.1,89.6,90.7,Moderna,infection
140,71.9,71.3,72.6,Moderna,infection
14,96.5,95.1,97.6,Moderna,severe
140,90.4,88.6,91.9,Moderna,severe
14,97.2,95.1,98.4,Moderna,death
140,92.8,90.3,94.6,Moderna,death
14,70.6,68.8,72.3,Janssen,infection
70,63,60.8,65,Janssen,infection
14,67.9,56.5,76.3,Janssen,severe
70,79.3,71.7,84.8,Janssen,severe
14,85.7,74.6,91.9,Janssen,death
70,80.5,75.7,84.4,Janssen,death
